fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
10100,US,,,cbsa,,iso1:us#cbsa:10100,,42668,,other,25.8,,1.08,0.48,,,,3,4,3,4,1,,4,11754,138,,,,120,50,8,,,,,,77,,28557,24327,2022-07-28,,0.669,0.57,1,9820,3,11436,0.268,180.5,,,330,127,3,36,10,2,0.01,,12,8,6.2,,0
10140,US,,,cbsa,,iso1:us#cbsa:10140,,75061,0.104,other,25.5,,0.96,0.35,,,1.0,3,2,3,4,1,,3,18603,211,,,,62,62,6,,7,7,1,,27,,50747,46548,2022-07-28,,0.676,0.62,0,,3,23404,0.312,178.5,,,664,584,64,93,81,9,0.098,,11,62,12.1,,1
10180,US,,,cbsa,,iso1:us#cbsa:10180,,172060,,other,9.5,,,,,,,1,4,1,4,4,,4,45395,896,,,,,,,,,,,,3,,100696,86367,2022-07-28,,0.585,0.502,0,196350,2,33634,0.195,66.8,,,1446,1108,59,92,89,2,0.039,,,60,8.5,,0
10220,US,,,cbsa,,iso1:us#cbsa:10220,,38284,0.211,other,95.2,,0.93,0.3,,,0.9,5,3,5,4,1,,3,13113,154,,,,99,49,7,,12,10,1,,0,,24002,19842,2022-07-28,,0.627,0.518,0,,3,7465,0.195,666.1,,,132,68,8,12,10,1,0.048,,13,13,22.1,,2
10300,US,,,cbsa,,iso1:us#cbsa:10300,,98451,0.124,other,25.5,,1.17,0.33,,,0.78,3,2,3,4,2,,1,28288,337,,,,35,27,2,,7,5,1,,0,,55393,52659,2022-07-28,,0.563,0.535,0,94232,3,27340,0.278,178.8,,,453,304,24,102,81,6,0.052,,9,25,7.5,,0
10380,US,,,cbsa,,iso1:us#cbsa:10380,,289289,0.266,other,79.4,,0.92,0.1,,,,5,3,5,4,1,,4,79172,,,,,,,,,,,,,259,,262119,236254,2022-07-28,,0.906,0.817,,,3,140922,0.487,555.5,,,,,,,,,0.037,,,,6.1,,1
10420,US,,,cbsa,,iso1:us#cbsa:10420,,703479,0.203,other,26.5,,1.25,0.12,,,0.75,3,3,3,4,2,,1,161257,2185,,,,1559,1198,59,,178,133,6,,1306,,470108,441650,2022-07-28,,0.668,0.628,0,,3,250760,0.356,185.6,,,3447,2623,138,380,282,12,0.043,,61,150,12.5,,1
10460,US,,,cbsa,,iso1:us#cbsa:10460,,67490,0.179,other,39.6,,1.11,0.32,,,1.0,3,2,3,4,2,,3,16794,202,,,,78,61,2,,7,7,0,,27,0,37342,31220,2022-07-28,,0.553,0.463,1,0,3,,,277.1,,,106,73,5,13,10,0,0.059,,5,7,11.5,,2
10500,US,,,cbsa,,iso1:us#cbsa:10500,,146726,0.423,other,44.7,,1.28,0.18,,,,3,3,3,4,2,,4,37061,808,,,,,,,,,,,,459,,82138,71375,2022-07-28,,0.56,0.486,3,109475,3,27779,0.189,312.8,,,1206,1113,165,150,141,8,0.134,,,212,26.2,,2
10540,US,,,cbsa,,iso1:us#cbsa:10540,,129749,0.083,other,23.5,,0.98,0.26,,,0.65,2,1,2,4,1,,0,29922,288,,,,146,71,11,,16,10,4,,37,,79619,72826,2022-07-28,,0.614,0.561,2,194167,3,38122,0.294,164.2,,,320,213,32,26,19,6,0.101,,12,26,10.8,,1
10580,US,,,cbsa,,iso1:us#cbsa:10580,,880381,0.143,other,23.0,,1.06,0.1,,,0.67,2,2,2,4,1,,0,204455,1530,,,,1910,1582,81,,208,138,14,,241,,732379,661808,2022-07-28,,0.832,0.752,0,,3,390983,0.444,160.7,,,4567,3762,192,482,325,25,0.041,,81,210,8.8,,0
10620,US,,,cbsa,,iso1:us#cbsa:10620,,62806,0.228,other,43.9,,1.26,0.33,,,0.89,3,3,3,4,2,,3,20787,269,,,,117,60,9,,10,8,0,,193,,29999,28273,2022-07-28,,0.478,0.45,4,,3,15805,0.252,307.3,,,909,720,46,96,87,1,0.053,,16,43,11.6,,2
10660,US,,,cbsa,,iso1:us#cbsa:10660,,30281,0.155,other,11.8,,0.75,0.77,,,0.93,2,2,2,4,0,,3,9559,78,,,,59,39,3,,6,5,1,,0,,18664,17643,2022-07-28,,0.616,0.583,0,,3,10622,0.351,82.6,,,71,49,3,8,5,1,0.051,,4,4,11.4,,1
10700,US,,,cbsa,,iso1:us#cbsa:10700,,96774,0.329,other,40.2,,1.12,0.26,,,0.79,3,3,3,4,2,,1,28886,396,,,,167,94,12,,18,14,2,,45,,54415,44813,2022-07-28,,0.562,0.463,0,105474,3,16029,0.166,281.1,,,609,384,26,77,61,7,0.045,,11,29,10.8,,2
10740,US,,,cbsa,,iso1:us#cbsa:10740,,918018,0.23,other,41.5,,1.01,0.1,,,,3,3,3,4,1,,4,235306,2819,,,,,,,,,,,,444,0,670516,587502,2022-07-28,,0.73,0.64,6,0,3,,,290.2,,,8088,6619,460,788,734,40,0.054,,,480,12.8,,2
10760,US,,,cbsa,,iso1:us#cbsa:10760,,51030,0.201,other,67.2,,1.1,0.26,,,,3,3,3,4,1,,4,15659,300,,,,,,,,,,,,39,,23912,20130,2022-07-28,,0.469,0.394,0,60967,3,8583,0.168,470.3,,,608,359,27,54,40,4,0.043,,,38,9.0,,1
10780,US,,,cbsa,,iso1:us#cbsa:10780,,152037,0.244,other,44.4,,0.9,0.17,,,,3,3,3,4,0,,4,42429,677,,,,,,,,,,,,105,,86659,75202,2022-07-28,,0.57,0.495,0,,3,29319,0.193,311.1,,,1307,973,80,121,104,17,0.059,,,92,19.8,,2
10820,US,,,cbsa,,iso1:us#cbsa:10820,,38141,0.13,other,25.8,,0.87,0.65,,,0.25,3,2,3,4,0,,0,11720,120,,,,51,35,1,,4,1,0,,0,,23565,22153,2022-07-28,,0.618,0.581,0,,3,13924,0.365,180.9,,,79,52,2,7,1,0,0.023,,6,6,13.5,,1
10860,US,,,cbsa,,iso1:us#cbsa:10860,,51639,,other,63.4,,0.95,0.26,,,,3,4,3,4,1,,4,16365,282,,,,,,,,,,,,28,,35060,29322,2022-07-28,,0.679,0.568,0,80414,3,12979,0.251,443.5,,,2242,2002,188,216,200,38,0.092,,,146,17.7,,2
