fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,0.175,other,30.0,,0.97,0.95,,,,3,2,3,4,1,,4,1182,3,,,,,,,,,,,,7,,2840,2479,2022-07-28,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.851,0.743,0,,3,975,0.292,209.8,820,547697,1161,993,58,100,85,9,0.045,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,52,11.1,1,2
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.103,other,5.1,,0.77,0.9,,,,2,2,1,4,0,,4,1849,1,,,,,,,,,,,,2,,4252,3576,2022-07-28,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.755,0.635,0,,3,1277,0.227,35.5,820,547697,1161,993,58,100,85,9,0.045,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,52,11.1,1,1
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.257,other,41.7,,1.07,0.13,,,0.94,3,3,3,4,1,,3,115412,539,,,,876,821,47,,73,69,6,,841,,222675,196107,2022-07-28,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.773,0.681,0,,3,91902,0.319,292.0,820,547697,1161,993,58,100,85,9,0.045,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",35,52,11.1,2,2
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.095,other,135.2,,1.4,0.42,,,,5,1,5,4,2,,4,11180,42,,,,,,,,,,,,174,,13308,12475,2022-07-28,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.724,0.679,0,,3,6158,0.335,946.4,820,547697,1161,993,58,100,85,9,0.045,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,52,11.1,2,2
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,,4,608,2,,,,,,,,,,,,0,,,,2022-07-28,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,0,,,0.0,820,547697,1161,993,58,100,85,9,0.045,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,52,11.1,2,1
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.453,other,524.6,,0.89,0.42,,,,5,3,5,4,0,,4,1350,1,,,,,,,,,,,,77,,1339,1141,2022-07-28,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.639,0.544,0,,3,583,0.278,3671.9,819,111069,101,69,4,13,6,0,0.05,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",,7,5.4,0,1
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.258,other,55.2,,0.89,0.83,,,,3,3,3,4,0,,4,2056,12,,,,,,,,,,,,19,,2865,2601,2022-07-28,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.583,0.529,0,,3,1221,0.248,386.5,820,547697,1161,993,58,100,85,9,0.045,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,52,11.1,1,2
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.205,other,30.5,,0.95,0.23,,,0.48,3,3,3,4,1,,0,30822,147,,,,101,69,4,,13,6,0,,207,,67437,59117,2022-07-28,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.696,0.61,0,,3,22947,0.237,213.7,819,111069,101,69,4,13,6,0,0.05,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",7,7,5.4,0,1
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,0.2,other,56.5,,1.12,0.98,,,,3,2,3,4,2,,4,723,1,,,,,,,,,,,,10,,1903,1756,2022-07-28,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.752,0.694,0,,3,1034,0.409,395.3,818,46907,57,38,2,8,3,1,0.038,"Juneau City and Borough, AK - Sitka City and Borough, AK",,5,17.1,2,2
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.229,other,0.0,,,,,,,0,3,0,4,4,,4,0,0,,,,,,,,,,,,0,,1619,1515,2022-07-28,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.754,0.705,0,,3,993,0.462,0.0,818,46907,57,38,2,8,3,1,0.038,"Juneau City and Borough, AK - Sitka City and Borough, AK",,5,17.1,2,1
