fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.241,other,57.9,,1.1,0.1,,,,,,0.84,3,3,3,4,1,,2,286793,1270,320097,3875015,235,1619,1308,80,,133,112,11,,2965,1698965,519269,460198,2022-07-28,https://covidactnow.org/us/alaska-ak,0.71,0.629,0,1186419,3,213516,0.292,405.3,,,,,,,,,0.049,,120,,16.4,,2
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.261,other,50.1,,1.05,0.1,,,,,,0.82,3,3,3,4,1,,2,1416510,19890,1139783,6820955,404,14283,10865,896,,1544,1264,143,,2765,10351240,3114035,2538510,2022-07-28,https://covidactnow.org/us/alabama-al,0.635,0.518,1,6463818,3,946426,0.193,350.4,,,,,,,,,0.063,,877,,17.9,,2
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.207,other,40.7,,0.98,0.1,,,,,,0.71,3,3,3,4,1,,1,899551,11689,527662,4413403,790,7725,5519,488,,851,604,57,,1791,6728980,2040248,1664434,2022-07-28,https://covidactnow.org/us/arkansas-ar,0.676,0.552,11,4373349,3,684484,0.227,285.2,,,,,,,,,0.063,,479,,15.9,,2
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.29,other,33.9,,1.13,0.1,,,,,,0.61,3,3,3,4,2,,0,2195088,30768,2069591,13203330,396,15068,11079,800,,1622,983,51,,17249,15983420,5438658,4559893,2022-07-28,https://covidactnow.org/us/arizona-az,0.747,0.626,70,12727134,3,2020735,0.278,237.0,,,,,,,,,0.053,,886,,12.2,,2
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.168,other,49.1,,0.98,0.1,,,,,,0.72,3,2,3,4,1,,1,10649458,93482,10130652,142098370,10600,61514,48056,5198,,6707,4838,523,,7793,97189655,32968610,28857182,2022-07-28,https://covidactnow.org/us/california-ca,0.834,0.73,44,78558967,3,15891928,0.402,343.5,,,,,,,,,0.085,,5158,,13.1,,2
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.1,other,30.5,,0.93,0.1,,,,,,0.65,3,1,3,4,1,,0,1599725,13163,1602335,15556777,1300,10340,7047,356,,1229,802,54,,1815,13622175,4646890,4091347,2022-07-28,https://covidactnow.org/us/colorado-co,0.807,0.71,7,11252672,3,2231197,0.387,213.4,,,,,,,,,0.034,,573,,10.0,,2
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.109,other,24.6,,1.07,0.1,,,,,,0.63,2,2,2,4,1,,0,850565,11102,957978,14291336,860,7538,5750,361,,907,570,27,,1485,9452425,3468243,2863022,2022-07-28,https://covidactnow.org/us/connecticut-ct,0.95,0.803,2,7932071,3,1522288,0.427,172.5,,,,,,,,,0.048,,414,,11.6,,1
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.113,other,27.8,,1.02,0.1,,,,,,0.79,3,2,3,4,1,,1,162098,1363,256068,5183380,268,3122,2529,185,,317,250,9,,683,,,,2022-07-28,https://covidactnow.org/us/district_of_columbia-dc,,,0,,3,,,194.8,,,,,,,,,0.059,,119,,16.9,,1
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.184,other,35.4,,1.1,0.1,,,,,,,3,2,3,4,1,,4,293222,3024,320489,3533848,,,,,,,,,,370,2564295,824021,685035,2022-07-28,https://covidactnow.org/us/delaware-de,0.846,0.703,0,1898246,3,327163,0.336,248.1,,,,,,,,,,,,,,,
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.233,other,49.2,,1.02,0.1,,,,,,0.72,3,3,3,4,1,,1,6762005,77377,7599635,53349331,2600,54219,42410,4699,,6277,4502,456,,11153,51488705,17273613,14565785,2022-07-28,https://covidactnow.org/us/florida-fl,0.804,0.678,91,38822718,3,6117102,0.285,344.1,,,,,,,,,0.087,,5495,,25.6,,2
